,period,region,technology,cost
389,2085,OAS,Walk,3.09217388651709
390,2090,REF,Walk,4.37854919952124
391,2090,OAS,Walk,3.2957082728022002
392,2095,REF,Walk,4.61169569411255
393,2095,OAS,Walk,3.51209824378248
394,2100,REF,Walk,4.846271521492589
395,2100,OAS,Walk,3.7412798392228996
396,1975,CHA,Walk,0.0562547360001316
397,1990,CHA,Walk,0.155656418105366
398,2005,CHA,Walk,0.36896067681186995
399,2010,CHA,Walk,0.52579887504672
400,2015,CHA,Walk,0.745810468691136
401,2020,CHA,Walk,1.08167152289974
402,2025,CHA,Walk,1.43546122917173
403,2030,CHA,Walk,1.78200383252847
404,2035,CHA,Walk,2.1077649671797
405,2040,CHA,Walk,2.43659625942493
406,2045,CHA,Walk,2.7133819362763303
407,2050,CHA,Walk,2.96818512644008
408,2055,CHA,Walk,3.19416749299757
409,2060,CHA,Walk,3.4243734980393303
410,2065,CHA,Walk,3.6630400377345897
411,2070,CHA,Walk,3.9020574871426295
412,2075,CHA,Walk,4.13445718785123
413,2080,CHA,Walk,4.37359781481278
414,2085,CHA,Walk,4.60888873558926
415,2090,CHA,Walk,4.84220017291561
416,2095,CHA,Walk,5.071098950995331
417,2100,CHA,Walk,5.29621946201205
418,1975,EUR,Walk,1.9362753918959998
419,1990,EUR,Walk,2.74479475546609
420,2005,EUR,Walk,3.53457635577765
421,2010,EUR,Walk,3.56049778167857
422,2015,EUR,Walk,3.8594885935400005
423,2020,EUR,Walk,4.57087092168969
424,2025,EUR,Walk,4.78165281091516
425,2030,EUR,Walk,5.01000671494274
426,2035,EUR,Walk,5.27089221347774
427,2040,EUR,Walk,5.57585209664378
428,2045,EUR,Walk,5.905438119872559
429,2050,EUR,Walk,6.2489031247042
430,2055,EUR,Walk,6.633804631535259
431,2060,EUR,Walk,7.06476126561468
432,2065,EUR,Walk,7.536499553071481
433,2070,EUR,Walk,8.02810450566484
434,2075,EUR,Walk,8.52596223911987
435,2080,EUR,Walk,9.03944545230678
436,2085,EUR,Walk,9.56982646046533
437,2090,EUR,Walk,10.127284215387599
438,2095,EUR,Walk,10.717298594821699
439,2100,EUR,Walk,11.344085719848499
440,1975,NEU,Walk,2.45857210658134
441,1990,NEU,Walk,2.90003083437263
442,2005,NEU,Walk,3.38281064442423
443,2010,NEU,Walk,3.44180057328416
444,2015,NEU,Walk,3.6198725652949704
445,2020,NEU,Walk,4.073539451882151
446,2025,NEU,Walk,4.0918893743795
447,2030,NEU,Walk,4.15903723900348
448,2035,NEU,Walk,4.27723645293518
449,2040,NEU,Walk,4.45483008584355
450,2045,NEU,Walk,4.68596285642144
451,2050,NEU,Walk,4.9720855839216505
452,2055,NEU,Walk,5.28420417000193
453,2060,NEU,Walk,5.630653031196389
454,2065,NEU,Walk,6.01721579914158
455,2070,NEU,Walk,6.4385232159491395
456,2075,NEU,Walk,6.880639522094059
457,2080,NEU,Walk,7.34559688943242
458,2085,NEU,Walk,7.82794532080499
459,2090,NEU,Walk,8.32631450400205
460,2095,NEU,Walk,8.84462612014834
461,2100,NEU,Walk,9.38986625348713
462,1975,IND,Walk,0.0407431308376209
463,1990,IND,Walk,0.0605928672231907
464,2005,IND,Walk,0.110294829072673
465,2010,IND,Walk,0.15190429727108498
466,2015,IND,Walk,0.20607105894668803
467,2020,IND,Walk,0.25818531728256894
468,2025,IND,Walk,0.32182893520062394
469,2030,IND,Walk,0.393082162559051
470,2035,IND,Walk,0.471892792544788
471,2040,IND,Walk,0.560895504785021
472,2045,IND,Walk,0.6588456911766422
473,2050,IND,Walk,0.766184272655665
474,2055,IND,Walk,0.887274272918625
475,2060,IND,Walk,1.0216196805791
476,2065,IND,Walk,1.169141035795
477,2070,IND,Walk,1.32802384270716
478,2075,IND,Walk,1.4980916716660901
479,2080,IND,Walk,1.663501558024
480,2085,IND,Walk,1.8380665453870701
481,2090,IND,Walk,2.02186171184885
482,2095,IND,Walk,2.21550656089114
483,2100,IND,Walk,2.4146430396751497
484,1975,JPN,Walk,2.27473877782248
485,1990,JPN,Walk,3.8570085553366398
486,2005,JPN,Walk,4.4591357689090305
487,2010,JPN,Walk,4.48779096262152
488,2015,JPN,Walk,4.95293219741308
489,2020,JPN,Walk,5.83967214873643
490,2025,JPN,Walk,6.14095040153589
491,2030,JPN,Walk,6.452456691536749
492,2035,JPN,Walk,6.71966926378123
493,2040,JPN,Walk,6.96440260539895
494,2045,JPN,Walk,7.24541773636878
495,2050,JPN,Walk,7.5392507517223395
496,2055,JPN,Walk,7.91748260105896
497,2060,JPN,Walk,8.33907774330918
498,2065,JPN,Walk,8.79742268012307
499,2070,JPN,Walk,9.29205349897781
500,2075,JPN,Walk,9.806724086462712
501,2080,JPN,Walk,10.341451093257
502,2085,JPN,Walk,10.9308627575755
503,2090,JPN,Walk,11.5717875083662
504,2095,JPN,Walk,12.2590213853248
505,2100,JPN,Walk,12.988846332057701
506,1975,USA,Walk,2.60079267770242
507,1990,USA,Walk,3.6919710408045
508,2005,USA,Walk,4.93330785637994
509,2010,USA,Walk,4.902273672128981
510,2015,USA,Walk,5.36485775490437
511,2020,USA,Walk,6.680000159120951
512,2025,USA,Walk,7.136933011353269
513,2030,USA,Walk,7.500782907039571
514,2035,USA,Walk,7.795290296823009
515,2040,USA,Walk,8.05198458721494
516,2045,USA,Walk,8.277406205274769
517,2050,USA,Walk,8.45899124367444
518,2055,USA,Walk,8.64090794448698
519,2060,USA,Walk,8.82831352062958
520,2065,USA,Walk,9.033067659639109
521,2070,USA,Walk,9.22667830471617
522,2075,USA,Walk,9.41386911334863
523,2080,USA,Walk,9.62286317703182
524,2085,USA,Walk,9.833417744405429
525,2090,USA,Walk,10.046864542350699
526,2095,USA,Walk,10.2657586283216
527,2100,USA,Walk,10.4919191462205
